16.40,743,-22
16.45,743,-22
16.50,742,-22
16.55,741,-22
16.60,739,-22
16.65,739,-22
16.70,738,-22
16.75,737,-22
16.80,736,-22
16.85,735,-22
16.90,733,-22
16.95,732,-22
17.00,730,-22
17.05,728,-22
17.10,727,-21
17.15,726,-21
17.20,725,-21
17.25,724,-21
17.30,723,-22
17.35,722,-22
17.40,721,-22
17.45,721,-22
17.50,719,-22
17.55,718,-22
17.60,717,-23
17.65,715,-23
17.70,714,-23
17.75,713,-23
17.80,711,-22
17.85,710,-22
17.90,710,-22
17.95,708,-21
18.00,708,-21
18.05,707,-21
18.10,706,-21
18.15,705,-21
18.20,705,-21
18.25,703,-21
18.30,702,-21
18.35,701,-22
18.40,699,-22
18.45,698,-22
18.50,697,-22
18.55,696,-22
18.60,694,-22
18.65,694,-21
18.70,693,-21
18.75,692,-21
18.80,692,-21
18.85,690,-21
18.90,690,-21
18.95,689,-21
19.00,688,-21
19.05,687,-21
19.10,686,-21
19.15,685,-21
19.20,683,-22
19.25,682,-22
19.30,680,-22
19.35,678,-22
19.40,677,-22
19.45,676,-22
19.50,676,-22
19.55,674,-22
19.60,673,-22
19.65,674,-22
19.70,672,-22
19.75,672,-22
19.80,670,-22
19.85,669,-22
19.90,668,-22
19.95,666,-22
20.00,665,-22
20.05,665,-22
20.10,663,-22
20.15,662,-22
20.20,662,-22
20.25,660,-22
20.30,658,-22
20.35,656,-21
20.40,656,-21
20.45,655,-21
20.50,654,-21
20.55,652,-21
20.60,651,-21
20.65,650,-21
20.70,650,-21
20.75,649,-21
20.80,647,-21
20.85,647,-21
20.90,646,-21
20.95,645,-21
21.00,644,-21
21.05,644,-21
21.10,642,-21
21.15,640,-21
21.20,640,-21
21.25,638,-21
21.30,637,-21
21.35,635,-21
21.40,634,-21
21.45,633,-21
21.50,633,-21
21.55,632,-21
21.60,633,-21
21.65,632,-21
21.70,630,-21
21.75,628,-22
21.80,627,-22
21.85,626,-22
21.90,625,-22
21.95,625,-22
22.00,624,-22
22.05,622,-22
22.10,620,-22
22.15,620,-22
22.20,618,-22
22.25,618,-22
22.30,616,-22
22.35,615,-22
22.40,612,-22
22.45,611,-22
22.50,611,-22
22.55,611,-22
22.60,609,-22
22.65,608,-22
22.70,606,-22
22.75,605,-22
22.80,603,-21
22.85,602,-21
22.90,602,-21
22.95,601,-22
23.00,600,-22
23.05,598,-22
23.10,597,-22
23.15,596,-22
23.20,595,-22
23.25,594,-22
23.30,593,-22
23.35,593,-22
23.40,591,-22
23.45,590,-21
23.50,589,-21
23.55,589,-21
23.60,588,-21
23.65,588,-21
23.70,586,-21
23.75,586,-21
23.80,585,-21
23.85,583,-21
23.90,583,-20
23.95,581,-20
24.00,579,-20
24.05,579,-20
24.10,578,-20
24.15,577,-20
24.20,575,-20
24.25,573,-20
24.30,572,-21
24.35,571,-21
24.40,570,-21
24.45,569,-21
24.50,568,-21
24.55,568,-21
24.60,566,-22
24.65,564,-22
24.70,564,-22
24.75,563,-22
24.80,563,-22
24.85,562,-22
24.90,561,-22
24.95,560,-22
25.00,559,-22
25.05,558,-22
25.10,557,-22
25.15,557,-22
25.20,554,-22
25.25,553,-22
25.30,551,-22
25.35,550,-22
25.40,548,-22
25.45,548,-22
25.50,547,-21
25.55,546,-21
25.60,545,-21
25.65,544,-20
25.70,543,-20
25.75,543,-20
25.80,540,-21
25.85,539,-21
25.90,538,-21
25.95,536,-21
26.00,535,-21
26.05,535,-21
26.10,533,-21
26.15,531,-22
26.20,530,-22
26.25,529,-21
26.30,528,-21
26.35,527,-21
26.40,527,-21
26.45,526,-21
26.50,525,-21
26.55,526,-22
26.60,526,-22
26.65,525,-22
26.70,524,-22
26.75,522,-23
26.80,521,-22
26.85,520,-22
26.90,519,-22
26.95,516,-22
27.00,518,-22
27.05,516,-21
27.10,514,-21
27.15,512,-21
27.20,510,-21
27.25,510,-20
27.30,509,-20
27.35,508,-20
27.40,507,-20
27.45,506,-21
27.50,503,-21
27.55,502,-22
27.60,500,-22
27.65,499,-22
27.70,497,-22
27.75,498,-22
27.80,496,-22
27.85,495,-21
27.90,494,-21
27.95,493,-21
28.00,493,-21
28.05,492,-21
28.10,490,-21
28.15,490,-21
28.20,490,-20
28.25,488,-21
28.30,489,-21
28.35,487,-20
28.40,486,-20
28.45,485,-20
28.50,483,-19
28.55,482,-19
28.60,481,-18
28.65,481,-18
28.70,480,-18
28.75,479,-18
28.80,478,-18
28.85,477,-18
28.90,476,-18
28.95,475,-18
29.00,474,-19
29.05,473,-19
29.10,472,-19
29.15,472,-19
29.20,470,-20
29.25,468,-20
29.30,467,-20
29.35,467,-20
29.40,467,-20
29.45,467,-20
29.50,465,-20
29.55,465,-20
29.60,463,-20
29.65,463,-20
29.70,460,-20
29.75,460,-20
29.80,460,-20
29.85,458,-20
29.90,457,-20
29.95,457,-20
30.00,455,-19
30.05,454,-19
30.10,453,-19
30.15,452,-19
30.20,449,-18
30.25,449,-18
30.30,447,-18
30.35,447,-18
30.40,445,-18
30.45,445,-18
30.50,445,-19
30.55,443,-19
30.60,442,-19
30.65,440,-18
30.70,441,-18
30.75,440,-18
30.80,439,-18
30.85,438,-18
30.90,436,-19
30.95,436,-19
31.00,435,-18
31.05,436,-18
31.10,435,-18
31.15,433,-18
31.20,434,-17
31.25,434,-17
31.30,433,-17
31.35,431,-17
31.40,430,-17
31.45,429,-17
31.50,428,-17
31.55,427,-17
31.60,426,-17
31.65,426,-17
31.70,424,-17
31.75,424,-17
31.80,422,-17
31.85,421,-16
31.90,420,-16
31.95,419,-16
32.00,418,-16
32.05,418,-16
32.10,417,-16
32.15,416,-16
32.20,415,-16
32.25,414,-16
32.30,413,-16
32.35,413,-16
32.40,411,-17
32.45,411,-16
32.50,410,-16
32.55,409,-16
32.60,408,-16
32.65,406,-17
32.70,405,-17
32.75,406,-17
32.80,406,-17
32.85,406,-17
32.90,406,-17
32.95,404,-17
33.00,404,-17
33.05,403,-17
33.10,402,-17
33.15,402,-17
33.20,403,-17
33.25,401,-16
33.30,399,-16
33.35,397,-16
33.40,397,-16
33.45,396,-16
33.50,395,-16
33.55,395,-16
33.60,393,-16
33.65,392,-15
33.70,391,-15
33.75,390,-15
33.80,388,-16
33.85,387,-16
33.90,387,-16
33.95,385,-16
34.00,384,-16
34.05,383,-16
34.10,384,-16
34.15,382,-16
34.20,382,-16
34.25,382,-16
34.30,381,-16
34.35,379,-16
34.40,378,-16
34.45,379,-16
34.50,379,-16
34.55,377,-15
34.60,377,-15
34.65,376,-15
34.70,376,-15
34.75,375,-15
34.80,376,-14
34.85,373,-14
34.90,373,-14
34.95,372,-14
35.00,372,-14
35.05,372,-14
35.10,371,-14
35.15,371,-14
35.20,370,-14
35.25,368,-13
35.30,366,-13
35.35,365,-13
35.40,365,-13
35.45,365,-13
35.50,364,-14
35.55,364,-14
35.60,363,-14
35.65,361,-14
35.70,361,-14
35.75,361,-14
35.80,360,-13
35.85,358,-13
35.90,357,-13
35.95,357,-13
36.00,355,-14
36.05,355,-14
36.10,354,-14
36.15,355,-14
36.20,356,-14
36.25,357,-14
36.30,356,-14
36.35,354,-13
36.40,353,-13
36.45,351,-13
36.50,350,-13
36.55,348,-13
36.60,348,-13
36.65,348,-14
36.70,348,-14
36.75,350,-14
36.80,349,-13
36.85,348,-13
36.90,347,-13
36.95,346,-13
37.00,344,-14
37.05,343,-14
37.10,342,-15
37.15,342,-15
37.20,341,-16
37.25,340,-16
37.30,340,-16
37.35,339,-16
37.40,339,-15
37.45,338,-15
37.50,338,-14
37.55,337,-14
37.60,335,-14
37.65,334,-15
37.70,332,-15
37.75,334,-16
37.80,334,-16
37.85,332,-16
37.90,330,-16
37.95,328,-16
38.00,328,-15
38.05,326,-15
38.10,325,-15
38.15,325,-15
38.20,324,-15
38.25,323,-15
38.30,323,-15
38.35,323,-16
38.40,322,-16
38.45,323,-16
38.50,321,-16
38.55,320,-16
38.60,320,-16
38.65,319,-16
38.70,318,-16
38.75,316,-16
38.80,316,-16
38.85,316,-16
38.90,315,-16
38.95,315,-15
39.00,314,-15
39.05,313,-14
39.10,311,-14
39.15,311,-14
39.20,310,-14
39.25,310,-15
39.30,309,-15
39.35,308,-15
39.40,308,-15
39.45,307,-15
39.50,307,-16
39.55,305,-16
39.60,304,-16
39.65,302,-15
39.70,300,-15
39.75,300,-16
39.80,301,-16
39.85,300,-16
39.90,300,-16
39.95,299,-16
40.00,298,-16
40.05,297,-16
40.10,298,-16
40.15,296,-16
40.20,295,-16
40.25,294,-16
40.30,294,-16
40.35,292,-16
40.40,292,-16
40.45,291,-16
40.50,290,-16
40.55,289,-16
40.60,288,-16
40.65,289,-15
40.70,287,-15
40.75,285,-15
40.80,284,-15
40.85,284,-15
40.90,283,-16
40.95,284,-16
41.00,282,-16
41.05,280,-16
41.10,279,-16
41.15,279,-15
41.20,278,-15
41.25,278,-15
41.30,278,-15
41.35,276,-15
41.40,274,-15
41.45,274,-15
41.50,273,-15
41.55,273,-15
41.60,272,-16
41.65,273,-16
41.70,271,-16
41.75,271,-16
41.80,270,-16
41.85,269,-16
41.90,267,-16
41.95,268,-16
42.00,267,-16
42.05,267,-16
42.10,266,-16
42.15,265,-16
42.20,264,-16
42.25,265,-16
42.30,263,-16
42.35,262,-16
42.40,262,-16
42.45,261,-16
42.50,260,-16
42.55,257,-17
42.60,257,-17
42.65,255,-17
42.70,253,-17
42.75,252,-17
42.80,253,-17
42.85,251,-17
42.90,251,-17
42.95,251,-17
43.00,249,-17
43.05,249,-17
43.10,248,-17
43.15,247,-17
43.20,248,-17
43.25,246,-17
43.30,244,-18
43.35,244,-18
43.40,242,-18
43.45,242,-18
43.50,240,-18
43.55,239,-17
43.60,239,-17
43.65,239,-17
43.70,238,-17
43.75,237,-17
43.80,236,-17
43.85,236,-17
43.90,236,-18
43.95,234,-18
44.00,232,-17
44.05,232,-17
44.10,231,-17
44.15,231,-16
44.20,230,-16
44.25,230,-16
44.30,228,-16
44.35,227,-16
44.40,224,-16
44.45,225,-16
44.50,225,-16
44.55,224,-16
44.60,223,-16
44.65,222,-16
44.70,220,-16
44.75,218,-16
44.80,217,-17
44.85,218,-17
44.90,215,-17
44.95,215,-16
45.00,215,-16
45.05,216,-16
45.10,217,-16
45.15,215,-16
45.20,213,-16
45.25,213,-16
45.30,211,-16
45.35,211,-16
45.40,211,-16
45.45,210,-16
45.50,210,-16
45.55,208,-16
45.60,207,-16
45.65,206,-16
45.70,206,-15
45.75,203,-15
45.80,203,-15
45.85,202,-15
45.90,203,-15
45.95,201,-15
46.00,201,-15
46.05,201,-15
46.10,199,-16
46.15,198,-16
46.20,198,-15
46.25,196,-15
46.30,196,-15
46.35,195,-15
46.40,195,-15
46.45,193,-16
46.50,193,-16
46.55,192,-16
46.60,191,-16
46.65,191,-16
46.70,189,-16
46.75,189,-15
46.80,187,-15
46.85,187,-15
46.90,187,-15
46.95,186,-15
47.00,186,-15
47.05,184,-15
47.10,184,-15
47.15,183,-15
47.20,185,-15
47.25,183,-15
47.30,182,-15
47.35,181,-15
47.40,180,-15
47.45,178,-15
47.50,177,-15
47.55,177,-16
47.60,175,-16
47.65,174,-16
47.70,175,-15
47.75,174,-15
47.80,172,-15
47.85,172,-15
47.90,173,-15
47.95,172,-15
48.00,172,-15
48.05,170,-15
48.10,169,-15
48.15,168,-16
48.20,168,-16
48.25,167,-16
48.30,165,-16
48.35,165,-16
48.40,165,-16
48.45,163,-16
48.50,161,-16
48.55,160,-16
48.60,159,-16
48.65,160,-16
48.70,159,-16
48.75,159,-16
48.80,158,-17
48.85,159,-17
48.90,157,-17
48.95,157,-18
49.00,156,-18
49.05,154,-18
49.10,153,-18
49.15,151,-17
